FName(String),LName(String),Gender(String),AreaCode(String),Phone(String),City(String),State(String),Zip(String),MaritalStatus(String),HasChild(String)
Grazyna,Krisper,M,337,1001288,PINEVILLE,LA,71360,S,N
Einar,DuMouchel,M,808,7953440,KAPAAU,HI,96755,M,N
Arnim,Nord,F,605,5593976,KYLE,SD,57752,M,Y
Congxiao,Bernhard,F,701,5109138,TUTTLE,ND,58488,S,Y
Ruzena,Tatsumi,M,636,5827308,KANSAS CITY,MO,64196,S,N
Vagan,Gurel,F,508,4216542,WESTBOROUGH,MA,1581,S,N
Tunu,Cassaro,F,252,7023794,WILSON,NC,27894,M,N
Astrid,Sherrell,M,913,1646086,FORD,KS,67842,S,Y
Wonhee,Jungmann,F,989,9204515,MARNE,MI,49435,S,N
Halime,Yach,M,808,3367413,HONOLULU,HI,96812,M,Y
Samir,Wadel,F,202,8097699,WASHINGTON,DC,20463,M,N
Fathi,Kubica,M,307,4768966,MORAN,WY,83013,M,N
Ranga,Encarnacion,F,928,6858195,DOUGLAS,AZ,86555,S,Y
Ronni,Lodderstedt,F,425,8883127,FALL CITY,WA,98024,S,Y
Deanna,Falmagne,F,203,5811141,SHELTON,CT,6484,S,Y
Chenghui,Tzafestas,F,952,2847150,BROOKSTON,MN,55711,M,N
Jeongyoujng,Rappoport,M,330,6845428,CLEVELAND,OH,44118,S,N
Brennan,Galati,F,978,4128906,ATTLEBORO FALLS,MA,2763,M,N
Noela,Preusig,M,312,9356745,BOWEN,IL,62316,M,N
Jesas,Konuru,F,201,1852638,MULLICA HILL,NJ,8062,M,N
Laszlo,Schaedler,M,443,5355467,FRIENDSHIP,MD,20758,M,Y
Bui,Breugel,F,313,7953740,HOLLAND,MI,49424,M,N
Jongpil,Linares,F,785,1547654,SOLDIER,KS,66540,M,Y
Debasis,Kaizoji,F,302,1844996,HARBESON,DE,19951,M,Y
Tsutomu,Giacomo,F,586,4729703,WATERS,MI,49797,M,N
Nobuyuki,Ferriere,F,801,3601133,KAMAS,UT,84036,M,Y
Pranay,Marinova,M,907,8161997,SOUTH NAKNEK,AK,99670,M,N
Ilias,Yaru,M,501,3274783,DIERKS,AR,71833,S,Y
Micheal,Deverell,M,202,3579888,WASHINGTON,DC,20392,M,Y
Vineet,Elenbaas,F,870,7136786,MC CRORY,AR,72101,S,Y
Vishal,Cat,F,406,4533426,PLEVNA,MT,59344,M,Y
Soloman,Danecki,M,602,3996495,TUCSON,AZ,85703,S,N
Suzanna,Melzak,F,810,5344106,PERRINTON,MI,48871,S,N
Christipher,Reipa,M,618,4715887,COAL CITY,IL,60416,M,Y
Zhihui,Drexl,F,308,7733763,WILBER,NE,68465,S,Y
Egon,Puterman,M,860,5256023,NORTH STONINGTON,CT,6359,M,N
Bjajesh,Adusumilli,M,563,9868541,MONTOUR,IA,50173,S,N
Carol,Lunbeck,M,617,4624984,LAWRENCE,MA,1840,M,Y
Keumog,Kracsony,M,940,8248825,DALLAS,TX,75360,S,N
Bennet,Trung,F,401,2962857,GREENE,RI,2827,S,Y
Wilfred,Casteran,M,939,9729226,GUAYNABO,PR,965,M,N
Subhasish,Barreteau,M,480,8525820,TUCSON,AZ,85711,M,N
Manjote,Xiaoshan,F,563,5655401,RHODES,IA,50234,M,N
Fen,Fornaciari,M,319,6762569,TRUESDALE,IA,50592,M,N
Fulvio,Scheidler,F,402,8287893,ASHLAND,NE,68003,S,N
Sylviane,Perring,M,912,5833127,MEANSVILLE,GA,30256,S,N
Lee,Ramiller,M,337,2166869,PLAQUEMINE,LA,70765,M,Y
Pallab,Nadon,F,937,9582984,QUINCY,OH,43343,S,N
Tomohiro,Ohmoto,F,417,3452336,BEULAH,MO,65436,S,Y
Shanda,Gelsey,F,217,4124141,ROCK CITY,IL,61070,S,Y
Raimund,Burnard,M,270,7599204,HERNDON,KY,42236,S,Y
Aloys,Thagard,M,720,9283974,MONARCH,CO,81227,S,Y
Khaled,Saleeb,M,207,5292324,GREENWOOD,ME,4255,S,N
Natsume,Messina,F,304,6858767,GREAT CACAPON,WV,25422,S,N
Georg,Berglas,F,262,6477121,ROSENDALE,WI,54974,S,Y
YunLong,Zaroliagis,M,334,4668623,HUNTSVILLE,AL,35898,S,N
Michiharu,Dairaine,M,202,1376658,WASHINGTON,DC,20515,M,N
Stefanos,Covvey,F,808,8323906,PAHOA,HI,96778,S,Y
Rommert,Blumenthal,F,409,9299639,WACO,TX,76706,M,Y
Slim,Schmezko,M,857,6496884,AMHERST,MA,1003,M,N
Nobu,Kaizoji,M,302,6598804,WILMINGTON,DE,19810,S,N
Danijela,Ferneda,M,603,8115704,GREENVILLE,NH,3048,M,N
Vikas,Papsdorf,M,228,8295435,FAYETTE,MS,39069,S,Y
Shing,McKenna,M,507,8214854,BRITT,MN,55710,M,Y
Larry,Hadon,F,414,1444080,LODI,WI,53555,S,N
Chung,Postley,M,702,1491390,THE LAKES,NV,89163,M,N
Regino,Gracco,F,412,4168106,BUENA VISTA,PA,15018,S,Y
Frieder,Broos,M,619,8331788,LOS ANGELES,CA,90068,S,Y
Harvey,Nord,M,765,3355918,WINCHESTER,IN,47394,M,N
Yunming,Weerasinghe,M,860,5366711,NORTH HAVEN,CT,6473,S,N
Nagisa,Papakostas,F,910,5872901,CHARLOTTE,NC,28266,S,N
Carla,Uren,M,302,5459800,WILMINGTON,DE,19893,M,N
Orestes,Rudisin,M,207,7954602,SOUTH BRISTOL,ME,4568,S,Y
Mizuko,Dym,M,401,8729218,PRUDENCE ISLAND,RI,2872,M,N
Arnon,Embury,F,503,3549824,PORTLAND,OR,97280,S,N
Saku,Lappalainen,M,925,5431274,ARVIN,CA,93203,S,Y
Marios,Ullian,M,208,2852419,BOISE,ID,83733,M,N
Hiraku,Bolshov,F,662,4364224,BILOXI,MS,39531,S,N
Gillermo,Bodwin,M,608,8882688,MILWAUKEE,WI,53290,S,Y
Elmar,Gutbrod,M,303,5274054,DENVER,CO,80209,S,Y
Poorani,Kreutz,F,702,3145738,THE LAKES,NV,88901,S,Y
Aito,Cowan,M,605,5804492,WESSINGTON,SD,57381,M,Y
Oron,Madanlal,F,603,1887016,MANCHESTER,NH,3111,S,Y
Jinpo,Otillio,M,859,9257431,LORETTO,KY,40037,M,Y
Tomyyuki,N Dong,M,973,4312621,KEASBEY,NJ,8832,M,N
Avis,Tacic,F,610,1588914,IMMACULATA,PA,19345,M,N
Curd,Riel,F,662,3087189,GALLMAN,MS,39077,M,N
Haijo,Tsukuda,F,402,1239531,ARCHER,NE,68816,S,N
Mauno,Glockner,F,219,3231163,CENTRAL,IN,47110,M,N
Katarzyna,Amendola,M,401,1618098,BLOCK ISLAND,RI,2807,S,N
Linlin,Kacprzyk,F,319,1908606,MACKSBURG,IA,50155,S,N
Kokichi,Araya,F,201,3853338,NEWARK,NJ,7194,M,Y
Jianhui,Alborghetti,F,215,6817653,PITTSBURGH,PA,15278,M,Y
Taiji,Erva,F,337,5433986,NATCHITOCHES,LA,71497,S,Y
Jiazhen,Matthys,F,740,7805848,CINCINNATI,OH,45212,M,N
Shreesh,Greif,M,857,4937699,EASTON,MA,2334,S,Y
Shooichi,Kwiatkowska,F,580,4655816,BURBANK,OK,74633,S,Y
Matts,Michaylov,F,901,9736518,FOSTERVILLE,TN,37063,S,N
Pravil,McGranaghan,F,787,1665743,SAN ANTONIO,PR,690,M,Y
Jakov,Buehler,M,917,9705291,NEW YORK,NY,10003,S,N
Luuk,Widjojo,M,505,1601399,TAOS SKI VALLEY,NM,87525,S,Y
Roby,Tyldesley,F,603,7871135,CONCORD,NH,3305,M,N
Dekai,Hekken,F,606,3206859,CORBIN,KY,40701,S,Y
Alty,Scutella,F,939,6513157,QUEBRADILLAS,PR,678,M,Y
Vilmar,Postmus,F,603,3414912,NEWINGTON,NH,3805,S,Y
Shigeharu,Helfrich,M,503,1218154,NORTH POWDER,OR,97867,M,N
Sichen,Aly,F,254,3579393,CEE VEE,TX,79223,S,Y
Wilsin,Valkema,F,206,6951392,PRESCOTT,WA,99348,S,N
Kourosh,Samarapungavan,F,423,8042999,KNOXVILLE,TN,37929,M,N
Mustafa,Kwatra,M,479,9938073,MIDLAND,AR,72945,M,N
Muralidharan,Iyengar,F,808,5662497,M C B H KANEOHE BAY,HI,96863,M,N
Kingsley,Jaakkola,M,620,3188381,LITTLE RIVER,KS,67457,S,Y
Zhanliang,Pfeifer,F,406,9197867,ALDER,MT,59710,M,Y
Ibrahim,Raskhodnikova,M,573,2099289,JEFFERSON CITY,MO,65101,S,N
Tridas,Kragelund,M,251,1112044,BIRMINGHAM,AL,35297,M,Y
Alain,Katoen,F,912,4129277,SAVANNAH,GA,31409,M,N
Susanna,Benatallah,F,803,7747628,LAKE VIEW,SC,29563,M,Y
Euiseob,Yagi,M,605,6725241,CHESTER,SD,57016,M,Y
Charlotte,Khoshnevisan,F,480,8702006,TUCSON,AZ,85731,M,Y
Ponnarasu,Garrabrants,M,334,2867550,SUNFLOWER,AL,36581,S,Y
Jaerheen,Routh,F,208,3552531,MOUNTAIN HOME A F B,ID,83648,S,N
Vilas,Muhammad,F,864,8863281,CLEMSON,SC,29634,M,N
Yuemin,Straubing,M,202,1101904,WASHINGTON,DC,20030,S,N
Jud,Colorni,M,971,1675020,GRASS VALLEY,OR,97029,M,N
Arash,Talpin,M,302,4752911,TOWNSEND,DE,19734,M,N
Catharina,Vakili,F,980,4573155,VANDEMERE,NC,28587,M,Y
Michihiro,Pokrovskii,M,325,9146667,BEAUMONT,TX,77725,S,Y
Mika,Brutlag,F,941,8112815,JACKSONVILLE,FL,32219,S,Y
Rabinder,Haemer,M,412,1845279,NEEDMORE,PA,17238,M,Y
Chu,Klefstad,M,540,9551370,PORTSMOUTH,VA,23709,M,N
Subir,Gunal,F,970,8276116,AMHERST,CO,80721,M,Y
Jiri,Chengzheng,M,651,8621321,MILLVILLE,MN,55957,M,Y
Seshashayee,Kirschenbaum,M,801,3312249,AXTELL,UT,84621,M,Y
Wendy,Takesue,M,719,1236324,KIRK,CO,80824,M,N
Hugh,Koppel,M,941,6325807,JACKSONVILLE,FL,32246,S,Y
Cortes,Matuschka,F,410,2238023,GARRETT PARK,MD,20896,M,Y
Felicja,Pedrotti,M,631,7701912,BROOKLYN,NY,11211,S,N
Rajagopalan,Flatley,M,607,1491476,OLD WESTBURY,NY,11568,M,N
Jayanth,Zahle,F,913,3021147,MEDICINE LODGE,KS,67104,M,Y
Tyseer,Horspool,F,713,1944565,AUSTIN,TX,78750,S,N
Huu,Prieditis,F,907,8543678,SOUTH NAKNEK,AK,99670,M,N
Couto,Trachtenberg,F,907,7419751,NUNAM IQUA,AK,99666,S,N
Zeljko,Tvrdik,M,417,2707116,SAINT LOUIS,MO,63144,S,N
Hiralal,Bidoit,M,859,6292139,DUNNVILLE,KY,42528,S,Y
Polle,Neurohr,F,978,3991394,BROOKFIELD,MA,1506,S,Y
Nic,Palfreyman,F,724,3692888,PITTSBURGH,PA,15236,S,N
Yongcheng,Carpineto,M,201,5343064,HIGHLAND LAKES,NJ,7422,M,Y
Les,Romeuf,M,860,9195014,SOMERS,CT,6071,S,Y
Case,Delgano,F,815,6034875,ARTHUR,IL,61911,S,N
Maurizio,Jungen,M,304,4157305,TALLMANSVILLE,WV,26237,S,Y
Kimmo,Getis,F,440,5305939,WARREN,OH,44488,M,Y
Chyuan,Gorton,F,202,3593808,PARCEL RETURN SERVICE,DC,56965,S,Y
Lynda,Brysgalov,M,207,9747748,ALNA,ME,4535,M,Y
Ulrik,Berleant,M,585,8113816,HAGUE,NY,12836,S,N
Boguslaw,Montalbano,F,787,5608067,RIO GRANDE,PR,745,M,N
Mourad,Bhandari,F,712,4697498,LIBERTYVILLE,IA,52567,S,N
Reihard,Corno,F,203,3332076,EAST HARTLAND,CT,6027,S,Y
Gesine,Levenez,F,857,1357572,CHELSEA,MA,2150,S,N
KayLiang,Malama,M,731,9103546,HICKMAN,TN,38567,M,Y
Nematollaah,Szanser,M,503,6281972,IRONSIDE,OR,97908,S,Y
Yaghout,Roohalamini,F,406,3027268,HELENA,MT,59620,M,Y
Oyekunle,Gruenwald,F,202,4122909,WASHINGTON,DC,20071,M,Y
Guisseppi,Akkermans,M,318,1454371,JONESBORO,LA,71251,S,N
Vijay,Moharir,F,706,9784929,MORVEN,GA,31638,M,N
Gilberto,Wunderlin,F,847,8414808,MILLSTADT,IL,62260,S,Y
Bitan,Delzanno,F,207,2536077,GLEN COVE,ME,4846,S,N
Jed,Elhardt,M,563,6503522,OCHEYEDAN,IA,51354,S,N
Takanari,Delatizky,M,650,2304758,DALY CITY,CA,94014,S,Y
Christi,Kupsch,M,256,4318205,MOBILE,AL,36609,M,Y
Zongyan,Dillon,F,207,4588119,OAKLAND,ME,4963,S,Y
Friedbert,Cosar,F,219,5599924,EVANSVILLE,IN,47722,M,N
Noriyoshi,Berk,F,443,4993831,GARRETT PARK,MD,20896,S,Y
Neri,Emmerich,M,605,5501688,BRUCE,SD,57220,M,N
Petra,Wohn,M,816,1242083,OAK RIDGE,MO,63769,S,N
Huisheng,Buekenhout,F,201,4448976,NEWTON,NJ,7860,M,N
Avra,Plumb,F,610,8252316,HARRISBURG,PA,17105,M,N
Nan,Behrendt,M,208,4818153,GREENCREEK,ID,83533,S,N
Yuhong,Bachus,M,207,5036926,VIENNA,ME,4360,S,Y
Yolanda,Litant,M,251,2431277,PAINT ROCK,AL,35764,S,N
Guohui,Wybranietz,M,605,5658752,BRISTOL,SD,57219,M,N
Isil,Marinova,F,401,2971122,SLOCUM,RI,2877,S,N
Cristine,Kafeza,F,505,1413251,ALBUQUERQUE,NM,87114,S,Y
Marilde,Statz,M,516,8309410,THOMPSONVILLE,NY,12784,M,Y
Rakefet,Bongiovanni,M,603,1259676,PITTSFIELD,NH,3263,M,Y
Karem,Tenopir,M,541,3136414,BROGAN,OR,97903,M,Y
Cheeha,Kasriel,F,706,6933993,STATESBORO,GA,30459,M,N
Jichiang,Paijmans,M,269,5647204,WHITE LAKE,MI,48386,S,N
Syun,Heystek,F,318,6992459,SHREVEPORT,LA,71101,S,Y
Huiling,Dasarathy,F,615,8505362,ONLY,TN,37140,M,N
Madanpal,Naggar,M,503,4507607,MOLALLA,OR,97038,M,Y
Gurmeet,Laxer,M,478,3798798,MILLWOOD,GA,31552,S,N
Faiza,Oreizy,M,307,5634138,LARAMIE,WY,82072,S,N
Chengchang,Esch,F,940,2236618,PRAIRIE HILL,TX,76678,S,N
Vassili,Kerr,M,860,5083010,STONINGTON,CT,6378,S,Y
Bashir,Ausiello,F,479,3917114,WICKES,AR,71973,M,Y
Iara,Geppert,M,939,1812982,SAN JUAN,PR,910,M,Y
Meliu,Standing,F,507,9987502,SHAKOPEE,MN,55379,S,Y
Suphachai,Cypher,M,928,4405593,EHRENBERG,AZ,85334,M,N
Nageshwar,Kibati,M,401,3896491,ADAMSVILLE,RI,2801,M,N
Taiichi,Chmeiss,M,603,2779986,PLAISTOW,NH,3865,M,N
Meral,Peir,F,603,4036199,GREENVILLE,NH,3048,S,N
Hongji,Schwartzbauer,F,248,9896944,TRAVERSE CITY,MI,49686,M,N
Peternela,Taff,M,256,7612076,TUSKEGEE,AL,36083,M,Y
Haiyan,Rajlich,F,603,3206257,LITCHFIELD,NH,3052,M,Y
Lei,Raha,F,217,6057638,NORTHBROOK,IL,60062,M,N
Prabhav,Ginesta,F,919,3826818,BLACK CREEK,NC,27813,S,Y
Nageshwar,Insfran,M,956,7198415,LA PRYOR,TX,78872,S,N
Gianluigi,Canas,M,702,4954303,NORTH LAS VEGAS,NV,89081,M,Y
Tian,Schimmler,F,616,7828479,NORTH STAR,MI,48862,S,N
Dorothee,Raviv,M,702,7029013,BOULDER CITY,NV,89005,S,Y
Liliana,Bahcekapili,M,212,8478519,YULAN,NY,12792,S,N
Christoforos,Turakainen,M,907,4226235,STEVENS VILLAGE,AK,99774,S,N
Misa,Gellersen,F,352,6511571,ZOLFO SPRINGS,FL,33890,S,N
Sungho,Regian,M,251,6433728,KENNEDY,AL,35574,M,N
Azeddine,Kiyama,M,225,1467914,SHREVEPORT,LA,71105,S,Y
Junhui,Aimeur,M,662,3803898,OCEAN SPRINGS,MS,39566,M,N
Lushen,Verplaetse,M,678,9612123,CONYERS,GA,30012,M,Y
Chokchai,Widjojo,M,623,5789995,RIO RICO,AZ,85648,M,N
Yabo,Oxenboll,F,336,9386846,RIDGECREST,NC,28770,M,N
Nanda,Cannon,F,302,6429490,VIOLA,DE,19979,M,N
Takashige,Mausberg,M,919,7183841,MARSHALLBERG,NC,28553,M,N
Halina,Bitar,M,910,1387328,COLLETTSVILLE,NC,28611,M,Y
Hung,Zendler,M,305,5323245,JACKSONVILLE,FL,32257,S,N
Ismailcem,Prini,F,202,9189315,WASHINGTON,DC,20004,S,N
Nick,Tchoumatchenko,F,337,3558487,METAIRIE,LA,70055,M,Y
Pau,Moshkov,F,907,3747765,CIRCLE,AK,99733,S,Y
Eliseo,Lovasz,F,660,3928181,KANSAS CITY,MO,64145,S,N
Vagan,Hilburn,F,304,4478653,LEWISBURG,WV,24901,S,N
Liao,Bhal,M,325,1021023,KOUNTZE,TX,77625,M,Y
Gunar,Zuberek,M,605,1386366,ISABEL,SD,57633,M,N
Seymour,Hagemann,F,760,3863800,SACRAMENTO,CA,95841,M,N
Iara,Glymour,M,970,6802226,DENVER,CO,80247,M,N
Kosta,Brookner,M,319,9958951,DECORAH,IA,52101,M,N
Harmen,Deussen,F,781,1166882,WESTWOOD,MA,2090,S,Y
Tiziano,Haskin,F,351,6201411,NORTH UXBRIDGE,MA,1538,S,Y
Joanne,Benantar,M,843,4318201,MOUNTVILLE,SC,29370,M,Y
Gong,Gilon,M,908,2462079,WILLIAMSTOWN,NJ,8094,S,N
Yungho,Scharstein,M,202,3194317,WASHINGTON,DC,20509,M,N
Penelope,Lascarides,F,502,7017825,ELIZAVILLE,KY,41037,S,Y
Inman,Worner,M,276,3505138,HERNDON,VA,22092,S,Y
Carlos,Fechter,M,870,9386693,FRANKLIN,AR,72536,M,Y
Concepcion,Monarch,M,952,5151969,SAINT PAUL,MN,55111,M,Y
Takuo,Urso,M,864,1626039,ALLENDALE,SC,29810,M,Y
Malcolm,Bain,F,307,8639203,VETERAN,WY,82243,M,N
Lotte,Rachui,M,336,5786091,CHARLOTTE,NC,28258,S,Y
Mosleh,Tamesada,F,479,8587415,PLEASANT PLAINS,AR,72568,M,Y
Sofie,Holager,F,251,2422808,MOBILE,AL,36611,S,N
Ronni,Zohar,F,505,8554073,ISLETA,NM,87022,M,N
Heide,Bengtsson,F,864,9498874,WARD,SC,29166,S,Y
Wenci,Vilarrasa,M,336,3137495,DENTON,NC,27239,M,Y
Willibald,Lardy,F,504,7275035,LONGSTREET,LA,71050,S,N
Katsuo,Raamot,F,857,2598703,WEST NEWTON,MA,2465,M,N
Albrect,Prieve,F,662,4518263,JACKSON,MS,39298,M,N
Nageshwara,Wacholder,M,801,2587048,WASHINGTON,UT,84780,M,Y
Toshihiko,Bravoco,M,252,8306114,CASTALIA,NC,27816,M,N
Jaewon,Chenoweth,F,205,7628246,GALLION,AL,36742,M,Y
Zhouhui,Vastola,M,402,4088155,LINCOLN,NE,68520,S,N
Siddharth,Burroughs,M,971,5995687,MARCOLA,OR,97454,S,Y
Truman,Smitley,M,856,6528543,TENAFLY,NJ,7670,S,N
Vanu,Manara,F,636,8219338,BRIDGETON,MO,63044,S,N
Creve,Weismantel,F,731,6168309,NASHVILLE,TN,37205,M,N
Ichiang,Ragland,F,208,4155173,WINCHESTER,ID,83555,S,Y
Rens,Kalyanakrishnan,M,603,8437172,RAYMOND,NH,3077,M,Y
Zanoni,Teitelbaum,M,641,2365426,COLLINS,IA,50055,M,Y
Darko,Cannane,F,901,6961066,SILERTON,TN,38377,M,N
Jade,Vigier,M,228,8441190,MARION,MS,39342,S,N
Sigmar,Peng,F,712,4623764,BENTON,IA,50835,S,Y
Lauro,Acevedo,F,808,1103743,PAPAALOA,HI,96780,S,Y
Frieder,Flessner,M,202,4701937,WASHINGTON,DC,20500,M,N
Weiyi,Carli,M,402,4943843,WATERLOO,NE,68069,S,Y
Asis,Seidewitz,M,307,9527368,SHERIDAN,WY,82801,S,N
Reiko,Guerrieri,M,870,8745432,LESLIE,AR,72645,S,N
Havard,Rice,F,785,6764059,WINCHESTER,KS,66097,M,Y
Luca,Halewood,F,215,3646298,WEST SALISBURY,PA,15565,S,N
Krisda,Horspool,M,540,2135929,VILLAMONT,VA,24178,S,Y
Giopi,Vrain,F,815,5514311,SYCAMORE,IL,60178,S,Y
Jiyun,Compeau,M,207,9718476,MONROE,ME,4951,M,N
Manvinder,Tullis,M,970,5256249,YODER,CO,80864,S,N
Amante,Serot,F,406,3976691,ROY,MT,59471,M,N
Reini,Hernadi,F,907,2588554,PORT HEIDEN,AK,99549,M,Y
Madhan,Bishr,F,601,6788627,MC NEILL,MS,39457,S,Y
DeForest,Romijn,F,202,6429361,WASHINGTON,DC,20542,S,Y
Berend,Beznosov,F,540,3278621,SOUTH HILL,VA,23970,M,N
Lundy,Toida,F,205,6038550,BIRMINGHAM,AL,35228,S,Y
Zenping,Pinho,M,207,5857433,SOUTH WINDHAM,ME,4082,S,N
Petter,Wick,M,732,6704484,MERCHANTVILLE,NJ,8109,S,Y
Franquiberto,Marantz,M,802,9789936,WATERVILLE,VT,5492,S,N
AbdelAli,Vieweg,M,580,6969818,MIAMI,OK,74354,M,N
Lushen,Nocker,M,570,5236728,LAKEVILLE,PA,18438,M,Y
Pam,Kauffels,F,208,1849882,CALDWELL,ID,83606,S,Y
Santosh,Cadogan,M,219,9334674,ROSELAWN,IN,46372,S,Y
Xiping,Dinesh,M,307,5663776,BYRON,WY,82412,M,Y
Kalervo,Waern,M,802,3735857,ROXBURY,VT,5669,S,N
Joffroy,Lalanne,M,505,4805603,ROSWELL,NM,88203,M,N
Henk,Ryslinkova,F,682,9211493,MINERAL WELLS,TX,76067,S,Y
Marija,Laxer,M,563,2798105,RALSTON,IA,51459,S,N
Kejitan,Ozhan,F,414,7633143,BANGOR,WI,54614,M,N
Joy,Benton,M,315,4807822,NEW CITY,NY,10956,M,N
Viv,Venkataraman,F,540,7129543,DUNDAS,VA,23938,M,N
Malu,Minka,M,765,4743816,LARWILL,IN,46764,S,N
Elmer,Bourbakis,M,202,7036334,WASHINGTON,DC,20029,S,N
Minjie,Grayson,M,202,9714428,WASHINGTON,DC,20251,M,Y
Razvan,Ehrenfeucht,F,417,6755669,STURDIVANT,MO,63782,S,N
Lidong,Balaguer,F,212,2094781,NEW YORK,NY,10110,S,N
Charu,Hausser,F,202,4146739,WASHINGTON,DC,20355,S,N
Marwan,Monteverde,F,207,9029909,CARATUNK,ME,4925,S,Y
Arivind,Edler,M,603,5764546,FRANCESTOWN,NH,3043,M,Y
Bommadevara,Manabe,F,215,3265199,CAMBRA,PA,18611,S,Y
Barinderpal,Osmon,F,484,7265030,ADAH,PA,15410,M,Y
Xingang,Ishak,M,708,6613047,BLOOMINGDALE,IL,60108,M,N
Bon,Mantione,F,901,7562671,BRADFORD,TN,38316,S,Y
Weicong,Braschi,M,802,5156040,EAST BURKE,VT,5832,S,Y
Umesh,Raugh,F,775,7006751,MC GILL,NV,89318,M,Y
Nimish,Wotawa,M,608,1126631,MERRILL,WI,54452,S,N
Youquan,Nordemann,F,939,5194347,SAN JUAN,PR,910,S,N
Alicja,Wijesekera,M,606,3811061,STRUNK,KY,42649,M,Y
Tomoku,Wesley,F,202,5406737,WASHINGTON,DC,20090,S,N
Michelangelo,Groger,F,973,9924617,NEPTUNE,NJ,7753,M,Y
Myunghwan,Yershov,M,505,3178464,TRES PIEDRAS,NM,87577,M,Y
Jois,Shelburne,M,580,6488010,CHICKASHA,OK,73023,S,Y
Ammar,Lienard,M,307,6138596,BURLINGTON,WY,82411,S,Y
Arunas,Welker,M,225,2149863,BOGALUSA,LA,70427,S,Y
Terran,Bruno,M,352,1636694,HASTINGS,FL,32145,M,N
Bahaa,Rissland,F,701,7624713,COURTENAY,ND,58426,S,Y
Paraskevas,Brunk,M,801,8847563,GARDEN CITY,UT,84028,M,N
Aristotle,Arroyo,M,682,7536058,CORPUS CHRISTI,TX,78466,S,N
Zhenyi,Simhi,F,808,8894022,HONAUNAU,HI,96726,M,Y
Michi,Hartroth,M,228,9291382,HAZLEHURST,MS,39083,M,N
Bernie,Melton,M,276,4924755,FREDERICKSBURG,VA,22406,M,Y
Jianchu,Taivalsaari,M,614,4249274,LANGSVILLE,OH,45741,M,Y
Barb,Wiggers,F,708,7245994,ITASCA,IL,60143,M,Y
Hiroyuki,Imai,M,720,3025849,OVID,CO,80744,M,N
Junzo,Wirl,M,605,1718078,PIERPONT,SD,57468,S,Y
Zarka,Tulley,F,939,6932546,COAMO,PR,769,S,Y
Foto,Litzkow,M,781,7549391,SOUTH HADLEY,MA,1075,S,N
Stanly,d Abreu,F,337,1473762,HINESTON,LA,71438,S,N
Kathryn,Haining,M,208,2188168,MERIDIAN,ID,83646,M,Y
Niamh,Scherr,M,308,4239488,AINSWORTH,NE,69210,M,Y
Yoga,Boydens,F,401,2978085,NORTH SMITHFIELD,RI,2896,S,Y
Bahram,Cicchette,F,401,5909892,NEWPORT,RI,2841,S,Y
Shohei,Norwood,F,848,1152520,NEWARK,NJ,7194,M,Y
Guna,Nerjes,F,302,4334758,DAGSBORO,DE,19939,M,N
Kiyotoshi,Weinberg,M,802,3676940,POST MILLS,VT,5058,M,Y
Kunsoo,Deriche,F,413,3207540,BOLTON,MA,1740,S,Y
Hideyo,Heilandt,F,303,7668593,PLATTEVILLE,CO,80651,M,N
Ahvin,Ratha,M,732,6685385,HEWITT,NJ,7421,M,Y
Juei,Daskalakis,M,480,9967548,MESA,AZ,85274,M,N
Fotis,Rokusawa,F,785,5895879,WICHITA,KS,67260,M,N
Rabah,Daly,F,605,6684406,GREGORY,SD,57533,S,Y
Pyeong,Zivojnovic,M,337,6984362,LONGSTREET,LA,71050,S,N
Beatriz,Mandelberg,F,608,3268263,WILLIAMS BAY,WI,53191,S,Y
Motohide,Haneke,F,701,2439785,GRENORA,ND,58845,M,Y
Yuan,Cherifa,M,787,9758221,PATILLAS,PR,723,M,N
Samul,Nerima,F,239,1642738,TRENTON,FL,32693,M,Y
Roji,Pinnu,M,801,8383419,NEWCASTLE,UT,84756,M,Y
Lamber,Lucio,F,256,7786417,GANTT,AL,36038,M,N
Hiroyasu,Tapp,F,216,5996549,CLEVELAND,OH,44134,S,N
Ling,Zargham,F,401,7362863,PROVIDENCE,RI,2909,M,N
Chester,Khetawat,M,605,4165459,FRANKFORT,SD,57440,S,Y
Tanka,Asmuth,M,505,6373633,EL RITO,NM,87530,S,N
Umest,Takkinen,F,917,7891827,WANAKENA,NY,13695,S,Y
Wenguang,Tusera,M,501,5109079,RUSSELLVILLE,AR,72811,S,N
Sebastian,Hausser,F,308,8432624,RANDOLPH,NE,68771,M,Y
Pascalin,Schain,F,870,6445460,EUREKA SPRINGS,AR,72631,S,Y
Noga,Bracho,F,901,2902003,DYERSBURG,TN,38024,M,N
Katsuni,Blot,F,563,4911344,LE CLAIRE,IA,52753,M,N
Yadran,Weymouth,F,301,6134202,CAVETOWN,MD,21720,M,N
Krys,Guth,M,610,9595243,EVANS CITY,PA,16033,M,Y
Roselyn,Philippsen,M,559,3383812,OAKLEY,CA,94561,M,Y
Lora,Balder,M,808,8901575,HONOLULU,HI,96837,M,Y
Mikhail,Decaestecker,F,980,7872114,KNIGHTDALE,NC,27545,S,N
Naranker,Rossi,M,406,8046088,CONDON,MT,59826,S,Y
Francky,Obozinski,F,701,8558049,BUFFALO,ND,58011,S,Y
Neel,Devine,M,307,1182368,SUNDANCE,WY,82729,S,N
