FName(String),LName(String),Gender(String),AreaCode(String),Phone(String),City(String),State(String),Zip(String),MaritalStatus(String),HasChild(String),SingleExemp(Integer),MarriedExemp(Integer),ChildExemp(Integer)
Kathryn,Haining,M,208,2188168,MERIDIAN,ID,83646,M,Y,0,6600,3300
Niamh,Scherr,M,308,4239488,AINSWORTH,NE,69210,M,Y,0,206,103
Yoga,Boydens,F,401,2978085,NORTH SMITHFIELD,RI,2896,S,Y,0,0,0
Bahram,Cicchette,F,401,5909892,NEWPORT,RI,2841,S,Y,0,0,0
Shohei,Norwood,F,848,1152520,NEWARK,NJ,7194,M,Y,0,2000,1500
Guna,Nerjes,F,302,4334758,DAGSBORO,DE,19939,M,N,0,220,0
Kiyotoshi,Weinberg,M,802,3676940,POST MILLS,VT,5058,M,Y,0,6600,3300
Kunsoo,Deriche,F,413,3207540,BOLTON,MA,1740,S,Y,3575,0,1000
Hideyo,Heilandt,F,303,7668593,PLATTEVILLE,CO,80651,M,N,0,0,0
Ahvin,Ratha,M,732,6685385,HEWITT,NJ,7421,M,Y,0,2000,1500
Juei,Daskalakis,M,480,9967548,MESA,AZ,85274,M,N,0,4200,0
Fotis,Rokusawa,F,785,5895879,WICHITA,KS,67260,M,N,0,4500,0
Rabah,Daly,F,605,6684406,GREGORY,SD,57533,S,Y,0,0,0
Pyeong,Zivojnovic,M,337,6984362,LONGSTREET,LA,71050,S,N,4500,0,0
Beatriz,Mandelberg,F,608,3268263,WILLIAMS BAY,WI,53191,S,Y,700,0,400
Motohide,Haneke,F,701,2439785,GRENORA,ND,58845,M,Y,0,6600,3300
Yuan,Cherifa,M,787,9758221,PATILLAS,PR,723,M,N,0,0,0
Samul,Nerima,F,239,1642738,TRENTON,FL,32693,M,Y,0,0,0
Roji,Pinnu,M,801,8383419,NEWCASTLE,UT,84756,M,Y,0,4950,2475
Lamber,Lucio,F,256,7786417,GANTT,AL,36038,M,N,0,3000,0
Hiroyasu,Tapp,F,216,5996549,CLEVELAND,OH,44134,S,N,1300,0,0
Ling,Zargham,F,401,7362863,PROVIDENCE,RI,2909,M,N,0,0,0
Chester,Khetawat,M,605,4165459,FRANKFORT,SD,57440,S,Y,0,0,0
Tanka,Asmuth,M,505,6373633,EL RITO,NM,87530,S,N,3300,0,0
Umest,Takkinen,F,917,7891827,WANAKENA,NY,13695,S,Y,0,0,1000
Wenguang,Tusera,M,501,5109079,RUSSELLVILLE,AR,72811,S,N,20,0,0
Sebastian,Hausser,F,308,8432624,RANDOLPH,NE,68771,M,Y,0,206,103
Pascalin,Schain,F,870,6445460,EUREKA SPRINGS,AR,72631,S,Y,20,0,20
Noga,Bracho,F,901,2902003,DYERSBURG,TN,38024,M,N,0,0,0
Katsuni,Blot,F,563,4911344,LE CLAIRE,IA,52753,M,N,0,80,0
Yadran,Weymouth,F,301,6134202,CAVETOWN,MD,21720,M,N,0,4800,0
Krys,Guth,M,610,9595243,EVANS CITY,PA,16033,M,Y,0,0,0
Roselyn,Philippsen,M,559,3383812,OAKLEY,CA,94561,M,Y,0,174,272
Lora,Balder,M,808,8901575,HONOLULU,HI,96837,M,Y,0,2080,1040
Mikhail,Decaestecker,F,980,7872114,KNIGHTDALE,NC,27545,S,N,3300,0,0
Naranker,Rossi,M,406,8046088,CONDON,MT,59826,S,Y,1900,0,1900
Francky,Obozinski,F,701,8558049,BUFFALO,ND,58011,S,Y,3300,0,3300
Neel,Devine,M,307,1182368,SUNDANCE,WY,82729,S,N,0,0,0
Hung,Episkopou,M,563,3759602,WATERLOO,IA,50702,S,Y,40,0,40
Glaucia,Itzigehl,M,239,6601676,THONOTOSASSA,FL,33592,M,N,0,0,0
Yanxiang,Schoenig,F,435,8141564,SALT LAKE CITY,UT,84120,M,N,0,4950,0
Goang,Zizka,F,505,6882115,REGINA,NM,87046,M,Y,0,6600,3300
Ramakant,Zongker,F,701,3038081,DICKINSON,ND,58601,M,N,0,6600,0
Renny,Poulakidas,F,253,3978016,WISHRAM,WA,98673,S,Y,0,0,0
Carroll,Leban,M,502,5676487,HAPPY,KY,41746,M,Y,0,40,20
Mir,Kasa,F,678,9916944,BUFORD,GA,30519,M,Y,0,5400,3000
Jagesh,Takach,F,816,9776701,MAYSVILLE,MO,64447,S,N,2100,0,0
Peter,Kohlhase,M,408,2496469,MAGALIA,CA,95954,M,N,0,174,0
Roope,Callen,F,731,8115145,MOSCOW,TN,38057,S,N,0,0,0
Chung,Bennis,M,401,7932131,PAWTUCKET,RI,2861,S,N,0,0,0
Amr,Cornelius,F,301,6793213,BALTIMORE,MD,21231,M,N,0,4800,0
Huaiqing,Strater,M,907,3633532,CIRCLE,AK,99733,S,Y,0,0,0
Yakov,Dagtas,M,701,1217143,ROLETTE,ND,58366,M,N,0,6600,0
Borka,Schellhorn,F,802,8838918,EAST POULTNEY,VT,5741,M,Y,0,6600,3300
Bhupinder,Cox,M,276,2436117,SUFFOLK,VA,23436,M,Y,0,1800,900
Dahlia,Yetim,F,848,6805517,VILLAS,NJ,8251,S,Y,1000,0,1500
Lorenz,Magnusson,M,801,4521393,KOOSHAREM,UT,84744,M,N,0,4950,0
Ladislas,Heckendorn,M,202,6808556,PARCEL RETURN SERVICE,DC,56933,S,Y,1370,0,1370
Munseok,Poot,F,202,1442697,WASHINGTON,DC,20005,M,Y,0,2740,1370
Tilmann,Tryon,F,775,8072810,HENDERSON,NV,89074,S,Y,0,0,0
Yatsuka,Vellino,M,334,3281002,MENTONE,AL,35984,S,N,1500,0,0
Hai,Peak,M,408,5879857,SPRING VALLEY,CA,91976,M,N,0,174,0
Gilberto,Meyerhoff,F,208,1697064,LEWISVILLE,ID,83431,S,N,3300,0,0
KyungOh,Struble,M,920,5643688,RACINE,WI,53408,M,N,0,1400,0
ChingYen,Koide,F,541,2819661,MIDLAND,OR,97634,M,Y,0,318,159
Bill,Liedekerke,M,601,2866405,SHAW,MS,38773,M,N,0,12000,0
Debora,Lazell,M,682,2151609,EL PASO,TX,88553,S,Y,0,0,0
Tiko,Padman,F,901,2664458,RIVES,TN,38253,S,Y,0,0,0
Xingbin,Partee,F,435,2006904,HEBER CITY,UT,84032,M,Y,0,4950,2475
Birol,Bird,M,406,6903699,BILLINGS,MT,59102,S,N,1900,0,0
Hongwei,Rask,F,202,3151955,WASHINGTON,DC,20053,M,N,0,2740,0
Totadri,Chikaraishi,M,717,9495731,RAVINE,PA,17966,S,Y,0,0,0
Aarni,Dolinsky,F,434,9583309,HAMPTON,VA,23669,M,Y,0,1800,900
Hira,Marzurkiewicz,M,509,2901992,YAKIMA,WA,98903,S,N,0,0,0
Masadi,Gurevitch,M,231,4913746,HARRISVILLE,MI,48740,M,Y,0,6200,3100
Luk,Usas,M,907,3787822,ELFIN COVE,AK,99825,S,N,0,0,0
Joakim,Greenaway,F,918,6861118,CAMARGO,OK,73835,M,N,0,2000,0
Zubin,Sadowski,M,304,4644584,RAGLAND,WV,25690,M,Y,0,4000,2000
Mohamadou,Pietak,M,720,2033873,BELLVUE,CO,80512,M,Y,0,0,0
Mitch,Wooldridge,M,845,9015218,YOUNGSVILLE,NY,12791,S,N,0,0,0
Yuli,Rive,F,218,3152462,TWIG,MN,55791,S,N,3300,0,0
Kay,Aybay,M,412,8823654,NEW FREEPORT,PA,15352,M,N,0,0,0
Panayotis,Rios,F,435,6599435,TOOELE,UT,84074,M,Y,0,4950,2475
Sathis,Ramras,F,909,6701828,ALISO VIEJO,CA,92698,M,Y,0,174,272
Yongwon,Murtagh,F,308,7637886,BELLEVUE,NE,68123,S,N,103,0,0
Francis,Duske,F,541,8208857,PORTLAND,OR,97267,M,N,0,318,0
Jacquelyn,Kokeny,F,678,7496296,LAKEMONT,GA,30552,S,Y,2700,0,3000
Debanjan,Annaratone,M,720,1162421,CLIFTON,CO,81520,M,N,0,0,0
Pamela,Piltz,M,307,1934640,PARKMAN,WY,82838,S,N,0,0,0
Bassam,Kruys,M,801,7805687,GREEN RIVER,UT,84525,S,N,2475,0,0
Yili,Psaltis,F,401,5918255,RUMFORD,RI,2916,M,Y,0,0,0
Claudius,Scallan,M,775,7401038,INCLINE VILLAGE,NV,89450,S,N,0,0,0
Konrad,Varvel,M,754,3429804,FORT LAUDERDALE,FL,33314,S,N,0,0,0
Famory,Favre,M,219,1765541,OAKLAND CITY,IN,47660,S,N,1000,0,0
Sampalli,Niemeier,F,801,9203292,FILLMORE,UT,84631,S,Y,2475,0,2475
Keiji,Giani,F,252,7241798,MINERAL SPRINGS,NC,28108,S,Y,3300,0,3300
Hari,Worm,M,270,5133716,PRINTER,KY,41655,S,N,20,0,0
Kehsiung,Savaria,M,706,6251123,ROCKLEDGE,GA,30454,S,N,2700,0,0
Yeogirl,Abeta,M,856,9478023,CONVENT STATION,NJ,7961,M,N,0,2000,0
Vishu,Tagle,F,847,3004309,CHICAGO,IL,60693,S,N,2000,0,0
Kwok,Schurmann,F,919,6803615,CEDAR FALLS,NC,27230,M,Y,0,6600,3300
Camelia,Dowell,F,216,1634843,AKRON,OH,44312,S,N,1300,0,0
Shaye,Mukund,F,406,3634697,LLOYD,MT,59535,S,Y,1900,0,1900
Cort,Ostertag,M,501,4066198,GAMALIEL,AR,72537,S,N,20,0,0
Eleanor,Shiran,M,830,9008602,WEST,TX,76691,M,N,0,0,0
Kazushi,Bolshov,F,337,1947914,LAKELAND,LA,70752,M,Y,0,9000,1000
Na el,Biryukow,F,541,5114168,WALDPORT,OR,97394,S,N,159,0,0
Liangchun,Mossack,M,203,1406979,UNIONVILLE,CT,6085,M,N,0,24500,0
Wlodzimierz,Muhlenbein,M,401,3253457,CHEPACHET,RI,2814,S,Y,0,0,0
Chihming,Meuter,F,702,9274693,LAS VEGAS,NV,89160,M,N,0,0,0
Balkrishna,Marchal,F,435,1694564,IVINS,UT,84738,S,Y,2475,0,2475
Aneurin,Szyerski,F,502,3205111,HAPPY,KY,41746,M,N,0,40,0
Jayne,Siepmann,M,828,1557324,SILER CITY,NC,27344,S,N,3300,0,0
Marino,Poujol,F,501,4374096,TUCKER,AR,72168,S,N,20,0,0
Kotagiri,Wolovich,F,605,1021510,BULLHEAD,SD,57621,M,N,0,0,0
Karl,Erbach,F,414,8517674,WILLIAMS BAY,WI,53191,M,Y,0,1400,400
Klemens,Berard,M,435,8499444,AURORA,UT,84620,S,Y,2475,0,2475
Sukhmay,Beckhoff,M,662,9206089,WINTERVILLE,MS,38782,M,N,0,12000,0
LouAnn,Helland,F,302,4072342,NEWARK,DE,19725,S,Y,110,0,110
Laszlo,Ustimenko,M,702,3551509,STATELINE,NV,89449,S,Y,0,0,0
Ishwar,Dorchak,F,202,5396910,WASHINGTON,DC,20216,M,N,0,2740,0
Mitsugu,Jette,F,623,7615475,KAIBETO,AZ,86053,S,Y,2100,0,2300
HweeHwa,Pargaonkar,F,210,4207700,GUY,TX,77444,S,N,0,0,0
Efraim,Nutt,F,502,9616722,NERINX,KY,40049,S,N,20,0,0
Donyaprueth,Chalfan,F,302,9739051,MILFORD,DE,19963,M,Y,0,220,110
Sheelagh,Mercer,M,617,4661544,WEST HARWICH,MA,2671,M,Y,0,7150,1000
Meurig,Kusalik,M,864,3951988,CHERAW,SC,29520,M,N,0,6600,0
Yuqun,Hauskrecht,F,731,7409489,NASHVILLE,TN,37216,S,N,0,0,0
Katsuto,Schamp,M,541,1638150,EUGENE,OR,97403,S,Y,159,0,159
Jonghyun,Regev,F,913,9675109,WALTON,KS,67151,M,Y,0,4500,2250
Nageshwara,Polster,M,812,1572041,ROCKPORT,IN,47635,S,Y,1000,0,1000
Michele,Schervish,F,347,6361813,PATCHOGUE,NY,11772,M,Y,0,0,1000
Bhavani,Feltelson,F,803,9078230,JONESVILLE,SC,29353,M,Y,0,6600,3300
Foto,Mavronicolas,M,808,7404027,VOLCANO,HI,96785,M,Y,0,2080,1040
Guillermo,Kharin,M,605,7947098,PRESHO,SD,57568,S,N,0,0,0
Arnulf,Plessier,M,405,7366894,WATONGA,OK,73772,S,Y,1000,0,1000
Gustave,Gecsei,F,775,1107068,LAS VEGAS,NV,89117,M,N,0,0,0
Lalgudi,Buttelmann,M,425,1736169,YAKIMA,WA,98901,S,Y,0,0,0
Ragunathan,Dienes,F,769,2248997,NOXAPATER,MS,39346,S,N,6000,0,0
Shangping,Zeilberger,F,941,9084883,STUART,FL,34996,M,Y,0,0,0
Przemyslaw,Courtenage,F,503,7462542,DAMASCUS,OR,97089,S,Y,159,0,159
Abhaya,Nassor,F,405,8238375,OSCAR,OK,73561,S,Y,1000,0,1000
Takayuli,Laguitton,F,586,6386858,LEONARD,MI,48367,S,Y,3100,0,3100
Giri,Olivier,M,724,6778462,SCENERY HILL,PA,15360,M,Y,0,0,0
Ignace,Quasthoff,F,907,3813966,TULUKSAK,AK,99679,M,N,0,0,0
Swarup,Stepanek,F,845,5866057,WAWARSING,NY,12489,S,Y,0,0,1000
Nabanita,Hempstead,M,803,8047333,SPARTANBURG,SC,29305,S,N,3300,0,0
Katalin,Gist,F,515,2031690,CLINTON,IA,52736,S,N,40,0,0
Iannis,Giandomenico,M,413,6519412,GILBERTVILLE,MA,1031,M,N,0,7150,0
Alfio,Kauffels,F,317,9148924,MUNCIE,IN,47308,M,Y,0,2000,1000
Eizyu,Steingart,M,870,7754766,GEPP,AR,72538,S,Y,20,0,20
Yuzo,Weisenberg,M,607,3318772,PORTLANDVILLE,NY,13834,S,Y,0,0,1000
Djamal,Skatulla,F,609,3412131,TRENTON,NJ,8610,S,N,1000,0,0
Soraja,Liuzzi,F,828,7406235,STOVALL,NC,27582,M,Y,0,6600,3300
Gwyneth,Barbour,M,215,5978923,MONACA,PA,15061,M,N,0,0,0
Nikos,Kindlmann,M,720,6575594,BURLINGTON,CO,80807,S,Y,0,0,0
Hongji,Muhlen,F,406,5986651,OPHEIM,MT,59250,M,N,0,3800,0
Xinhua,Doh,F,240,9867537,LAUREL,MD,20708,M,Y,0,4800,2400
Philipe,McMahon,F,314,5823342,MONTGOMERY CITY,MO,63361,S,N,2100,0,0
Kiyoto,Takeoka,M,860,5523775,CANTERBURY,CT,6331,S,Y,12750,0,0
Ramachandran,Sindoni,F,507,1789270,CALUMET,MN,55716,M,Y,0,6600,3300
Mauno,Livari,F,971,8916956,SUMMERVILLE,OR,97876,M,Y,0,318,159
Aaron,Ittner,F,662,4726644,HEIDELBERG,MS,39439,S,N,6000,0,0
Horia,Rapicault,F,802,5173649,ADAMANT,VT,5640,M,Y,0,6600,3300
Seshu,Debackere,F,302,6077425,PORT PENN,DE,19731,M,Y,0,220,110
Sasan,Biederman,M,601,2595219,CARRIERE,MS,39426,M,N,0,12000,0
Anshu,Noel,M,234,9763418,BLOOMINGBURG,OH,43106,M,N,0,2600,0
Sachem,Salvesen,M,386,8121021,PORT SAINT LUCIE,FL,34985,M,N,0,0,0
Geunbae,Beretta,F,731,7132845,MEMPHIS,TN,38116,S,N,0,0,0
Satyandra,Hohne,M,678,7581864,ATLANTA,GA,30321,M,Y,0,5400,3000
Koichi,Nonnenmacher,F,505,1018592,LAKEWOOD,NM,88254,S,N,3300,0,0
Miyako,Pedrotti,F,651,6731358,LEWISTON,MN,55952,S,N,3300,0,0
Devindra,Ziegler,M,402,9796549,DOUGLAS,NE,68344,M,Y,0,206,103
Sebastian,Devlin,F,405,4617999,OVERBROOK,OK,73453,S,Y,1000,0,1000
Sharma,Graefe,F,406,6238153,VIRGINIA CITY,MT,59755,S,Y,1900,0,1900
Armen,Tahi,F,860,8273024,STRATFORD,CT,6615,M,N,0,24500,0
Bruch,Lyonns,M,214,8922462,SALADO,TX,76571,M,Y,0,0,0
Yoshitomo,Selvestrel,F,337,8935640,GIBSON,LA,70356,S,Y,4500,0,1000
Leif,Dinkloh,F,313,8069708,MAPLE RAPIDS,MI,48853,S,N,3100,0,0
Xia,Rouet,F,701,8527159,FAIRDALE,ND,58229,S,Y,3300,0,3300
Svatopluk,Bell,F,603,6048223,MADBURY,NH,3823,S,Y,0,0,0
Alejo,Jezioranski,M,413,1535732,MILTON VILLAGE,MA,2187,M,Y,0,7150,1000
Yibing,Lange,F,406,6674562,HOT SPRINGS,MT,59845,M,Y,0,3800,1900
Sverrir,Stomenovic,M,406,8348859,WILLOW CREEK,MT,59760,S,Y,1900,0,1900
Rema,Courtenage,M,360,1655868,RICHLAND,WA,99352,M,N,0,0,0
Ognen,Medvidovic,M,309,8256342,PALOS HILLS,IL,60465,M,Y,0,4000,2000
Anuj,Flaus,F,870,4514579,HUGHES,AR,72348,S,N,20,0,0
Linqi,Dreger,M,205,6529081,EMPIRE,AL,35063,S,Y,1500,0,300
Kitsana,Sherratt,F,901,3278481,MONROE,TN,38573,M,N,0,0,0
Barun,Tagashira,M,937,9752454,GENEVA,OH,44041,S,Y,1300,0,1300
Zorana,Grams,M,808,3485526,HAUULA,HI,96717,S,N,1040,0,0
Venu,Faletti,M,406,1374964,GREAT FALLS,MT,59401,S,N,1900,0,0
Raoul,Lazaro,M,503,3285303,O BRIEN,OR,97534,M,Y,0,318,159
Adly,Mouaddib,F,860,4232959,EASTON,CT,6612,S,Y,12750,0,0
Fotis,Ruther,F,302,3769756,WILMINGTON,DE,19880,M,N,0,220,0
Jurij,Baak,F,609,4766713,BRIELLE,NJ,8730,M,N,0,2000,0
Wassili,Otillio,F,860,8587034,OLD SAYBROOK,CT,6475,S,N,12750,0,0
Puri,Tawa,M,503,7955426,NEOTSU,OR,97364,S,N,159,0,0
Yul,Guetari,M,808,1688826,KUALAPUU,HI,96757,S,Y,1040,0,1040
Bhagirath,Lichtner,M,417,1879338,JAMESPORT,MO,64648,M,Y,0,4200,1200
Its hak,Gran,M,712,8011196,AGENCY,IA,52530,M,Y,0,80,40
Kalappa,Grun,M,512,7884213,EL PASO,TX,79923,S,Y,0,0,0
Lila,Cozza,F,931,4764820,NASHVILLE,TN,37228,S,N,0,0,0
Hidetsune,Witkowski,M,202,6339975,WASHINGTON,DC,20415,S,N,1370,0,0
Alix,Olken,F,775,6511571,SEARCHLIGHT,NV,89046,M,Y,0,0,0
Jennifer,Kirchherr,F,406,1029303,GILDFORD,MT,59525,S,Y,1900,0,1900
Jun,Stranks,F,304,3302372,PROCIOUS,WV,25164,M,Y,0,4000,2000
Fatimah,Rotger,F,479,3268755,LETONA,AR,72085,S,Y,20,0,20
Chiaki,Matthijssen,M,404,5586034,ETON,GA,30724,M,N,0,5400,0
Wilko,Olive,F,336,1095516,CORNELIUS,NC,28031,M,N,0,6600,0
Aantony,Saclay,F,801,6552169,PROVO,UT,84604,S,Y,2475,0,2475
Ajay,Mokkedem,F,304,2913892,CABINS,WV,26855,M,Y,0,4000,2000
Tatiana,Blus,M,620,9257415,DEERFIELD,KS,67838,S,Y,2250,0,2250
Jacobijn,Koepf,F,775,6578291,YERINGTON,NV,89447,M,N,0,0,0
Yunqi,Konuru,F,308,4063871,CORDOVA,NE,68330,M,N,0,206,0
Celine,Felgentreu,F,551,2684501,ORANGE,NJ,7050,S,N,1000,0,0
Tzvetan,Straser,F,802,6773867,GILMAN,VT,5904,S,Y,3300,0,3300
Keki,Cooperman,M,208,1077410,KAMIAH,ID,83536,M,Y,0,6600,3300
Charly,Geibel,M,316,5336028,TOPEKA,KS,66606,S,N,2250,0,0
Wernhuar,Griwodz,M,605,1485180,MILBANK,SD,57252,S,N,0,0,0
Agha,D Hooge,M,775,2884334,CARSON CITY,NV,89706,M,Y,0,0,0
Gaetan,Skamoto,M,479,4301030,BONO,AR,72416,S,Y,20,0,20
Liqin,Kauffmann,F,219,7899076,BUTLERVILLE,IN,47223,S,Y,1000,0,1000
Yanghee,DeFouw,M,810,9914879,RUDYARD,MI,49780,M,N,0,6200,0
Jorjeta,Blumenrohr,F,401,9558294,PROVIDENCE,RI,2906,S,Y,0,0,0
Hiroyuki,Surya,M,803,3464516,LANDO,SC,29724,M,N,0,6600,0
Adarsh,Abouzahra,F,225,4801105,DARROW,LA,70725,S,Y,4500,0,1000
Mingshien,Bonifati,M,401,8535649,HARRISVILLE,RI,2830,S,Y,0,0,0
Marlis,Bondorf,M,414,3685034,PLOVER,WI,54467,M,Y,0,1400,400
Joxan,McCallien,F,505,3018926,CIMARRON,NM,87714,M,N,0,6600,0
Aashu,Douligeris,F,501,8733408,ALPENA,AR,72611,M,N,0,40,0
Keung,Sidje,F,904,5551497,AVON PARK,FL,33825,M,N,0,0,0
Mustafa,Francisci,M,443,2252525,SILVER SPRING,MD,20916,S,Y,2400,0,2400
Jagesh,Dussud,F,406,1275013,BLOOMFIELD,MT,59315,S,N,1900,0,0
Adri,Takada,M,608,5781218,BRISTOL,WI,53104,S,Y,700,0,400
ChengFu,Kragelund,M,302,9022681,CAMDEN WYOMING,DE,19934,S,N,110,0,0
Pragnesh,Parodi,M,479,6927598,EDGEMONT,AR,72044,S,Y,20,0,20
Faouzi,Alvarez,M,304,5919070,FOLSOM,WV,26348,M,Y,0,4000,2000
Annemarie,Bheda,M,406,4136507,BILLINGS,MT,59111,M,N,0,3800,0
Christina,Hooman,M,787,1079937,CIALES,PR,638,M,N,0,0,0
Jianchao,McArthur,M,205,1922670,EDWARDSVILLE,AL,36261,M,N,0,3000,0
Samer,Caugne,F,314,4905534,CAIRO,MO,65239,M,Y,0,4200,1200
Athena,Kalamatianos,M,843,5001440,LANE,SC,29564,S,Y,3300,0,3300
Mohamed,Magalhaes,F,410,4736577,NANTICOKE,MD,21840,S,Y,2400,0,2400
Eliezer,Frijda,M,208,3947660,HAYDEN,ID,83835,S,Y,3300,0,3300
Janina,Puterman,M,541,6652264,DAIRY,OR,97625,M,Y,0,318,159
Arunachalam,Usdin,F,302,2489743,WILMINGTON,DE,19807,S,Y,110,0,110
Kamalakar,Cullingford,M,720,5023189,COALMONT,CO,80430,S,N,0,0,0
Haya,Gunn,F,251,8921906,MONTGOMERY,AL,36112,M,N,0,3000,0
Xuemin,Lebel,F,973,3285275,EDISON,NJ,8837,S,Y,1000,0,1500
Belle,Pileggi,F,808,6741111,HONOLULU,HI,96840,S,N,1040,0,0
Regis,Gunji,F,541,9829519,CANBY,OR,97013,S,N,159,0,0
Fetima,L Ecuyer,F,860,3311676,EASTFORD,CT,6242,M,N,0,24500,0
Guna,Heijst,F,660,3847994,POLK,MO,65727,S,Y,2100,0,1200
Przemyslawa,Delugach,F,563,3979093,SPRINGBROOK,IA,52075,S,N,40,0,0
Mino,Waldherr,M,305,5412737,JACKSONVILLE,FL,32209,S,N,0,0,0
Nia,Billawala,M,207,2201239,HARPSWELL,ME,4079,S,N,2850,0,0
LouAnn,Cakir,F,425,3274021,PESHASTIN,WA,98847,M,N,0,0,0
Walid,Randi,F,662,9662940,GLEN,MS,38846,M,N,0,12000,0
Miquel,Wender,M,262,7986931,BUTLER,WI,53007,S,Y,700,0,400
Rodnay,Ezer,M,202,4972828,WASHINGTON,DC,20560,M,N,0,2740,0
Linda,Shemesh,F,541,9379727,SANDY,OR,97055,S,N,159,0,0
Plamenka,Coppini,F,401,3513835,NEWPORT,RI,2841,M,Y,0,0,0
Muralidhara,Daszczuk,F,607,1482654,POESTENKILL,NY,12140,M,N,0,0,0
Wiktor,Geerts,F,252,1096904,KINGS MOUNTAIN,NC,28086,S,Y,3300,0,3300
Talel,Greer,M,574,3553029,TUNNELTON,IN,47467,M,Y,0,2000,1000
Guoxiang,Weatherford,M,646,1902414,HINCKLEY,NY,13352,M,N,0,0,0
Khun,Borucki,F,225,4368430,KENTWOOD,LA,70444,S,N,4500,0,0
Piers,Selenyi,M,202,5217308,WASHINGTON,DC,20055,M,N,0,2740,0
Lorene,DeJean,M,732,4543967,ADELPHIA,NJ,7710,M,Y,0,2000,1500
Lucja,Forouraghi,M,330,3916843,FOWLER,OH,44418,M,Y,0,2600,1300
Wilfredo,Radecka,M,630,9549350,ROCK FALLS,IL,61071,M,Y,0,4000,2000
Shlomi,Breitinger,M,228,7658117,FLOWOOD,MS,39232,S,N,6000,0,0
Danette,Lagnier,F,267,3417901,ASTON,PA,19014,M,Y,0,0,0
Bokyung,Mutschke,F,219,1495268,GREENSBURG,IN,47240,S,Y,1000,0,1000
Ingmar,Strevell,M,939,2007112,BOQUERON,PR,622,S,Y,0,0,0
Alastair,Iwanska,M,702,7078534,SUN VALLEY,NV,89433,M,N,0,0,0
Wenyu,Abbara,F,541,2757306,ROCKAWAY BEACH,OR,97136,S,Y,159,0,159
Sarosh,Bala,F,334,3618055,MOBILE,AL,36610,S,N,1500,0,0
Sreenivas,Khamare,M,731,3117042,DOWELLTOWN,TN,37059,M,N,0,0,0
Dwight,Isles,M,505,3061508,YESO,NM,88136,S,N,3300,0,0
Xinyao,Payton,F,229,9488931,FOWLSTOWN,GA,39852,M,N,0,5400,0
Seongtaek,Fujinami,M,513,1549418,RACINE,OH,45771,S,Y,1300,0,1300
Madhusudan,Szablak,M,731,5031517,SPRING CREEK,TN,38378,M,N,0,0,0
Shrinivas,Yochum,M,662,5668755,NATCHEZ,MS,39122,S,N,6000,0,0
Roded,Staggers,F,304,7803730,WILCOE,WV,24895,M,N,0,4000,0
Corin,Kitaev,M,787,8837222,RINCON,PR,677,S,N,0,0,0
Yali,Aghili,F,202,4918815,WASHINGTON,DC,20542,M,N,0,2740,0
Gudala,Lidstone,F,801,9792113,SALT LAKE CITY,UT,84101,S,N,2475,0,0
Bernad,Prevel,F,913,3996179,HOLYROOD,KS,67450,S,N,2250,0,0
Chandraleka,Howkins,M,712,3333020,DES MOINES,IA,50397,S,N,40,0,0
Geetha,Koszlajda,M,203,4124595,EAST GRANBY,CT,6026,M,N,0,24500,0
Swamy,Vrijer,F,605,1873589,SPEARFISH,SD,57799,S,Y,0,0,0
Marney,Castan,F,307,9964475,BIG PINEY,WY,83113,M,N,0,0,0
Divyakant,Karzanov,M,574,4464872,ELNORA,IN,47529,S,Y,1000,0,1000
Darwen,Broll,F,505,3788425,TREMENTINA,NM,88439,S,N,3300,0,0
Markian,Yanagida,M,775,3286400,VALMY,NV,89438,S,Y,0,0,0
Line,Sheridan,F,502,7205129,THELMA,KY,41260,M,N,0,40,0
Hal,Claire,F,605,6501357,RALPH,SD,57650,S,Y,0,0,0
Hairuo,Journel,M,207,8551310,FARMINGTON FALLS,ME,4940,S,Y,2850,0,2850
Dolors,Lovas,F,907,8792437,ANDERSON,AK,99744,M,N,0,0,0
Thuy,Lund,M,586,7463216,CASPIAN,MI,49915,M,Y,0,6200,3100
Renee,Elsanadidi,M,307,8761520,WYARNO,WY,82845,S,Y,0,0,0
Mazin,Marakakis,F,985,8916735,KAPLAN,LA,70548,S,Y,4500,0,1000
Deven,Nissenbaum,M,563,7328998,GUTTENBERG,IA,52052,S,Y,40,0,40
Stuart,Alblas,F,605,2836877,BLUNT,SD,57522,M,Y,0,0,0
Doyle,Guski,M,307,8757162,SAINT STEPHENS,WY,82524,M,Y,0,0,0
Kazuharu,Aha,F,563,8239092,MOUNT AUBURN,IA,52313,M,Y,0,80,40
Koki,Marzullo,F,808,9004759,WAIKOLOA,HI,96738,M,N,0,2080,0
Nobumitsu,Ianni,F,608,3075570,BOYD,WI,54726,S,Y,700,0,400
Gongxian,Rotger,M,636,2256503,CLIMAX SPRINGS,MO,65324,M,N,0,4200,0
Surendranath,Junnemann,F,351,5121182,CHESHIRE,MA,1225,S,Y,3575,0,1000
Seichi,Averbuch,F,636,8575633,ROCKBRIDGE,MO,65741,M,N,0,4200,0
Kwangyoen,Nyce,F,208,9386538,OSBURN,ID,83849,S,N,3300,0,0
Raffaele,Wilfing,F,614,8189852,PEEBLES,OH,45660,M,N,0,2600,0
Gwenael,Ritzmann,F,816,8267427,COLUMBIA,MO,65201,M,Y,0,4200,1200
Marney,Zeidenstein,F,262,3343898,KIMBERLY,WI,54136,M,Y,0,1400,400
